device,current,voltage,condition,normal_or_abnormal
Motor,0.0,0.0,ON,abnormal
Fan,0.238,0.0,ON,abnormal
Motor,0.307,0.0,ON,abnormal
Fan,0.239,0.0,ON,abnormal
Motor,0.347,0.0,ON,abnormal
Fan,0.109,0.0,ON,abnormal
Motor,0.062,0.0,ON,abnormal
Fan,0.248,0.0,ON,abnormal
Motor,0.089,0.0,ON,abnormal
Fan,0.238,0.0,ON,abnormal
Motor,0.082,0.0,ON,abnormal
Fan,0.263,0.0,ON,abnormal
Motor,0.082,0.0,ON,abnormal
Fan,0.263,0.0,ON,abnormal
Motor,0.6,11.55,ON,normal
Fan,0.233,11.42,ON,normal
Motor,0.6,11.55,ON,normal
Fan,0.233,11.42,ON,normal
Motor,0.639,11.56,ON,normal
Fan,0.175,11.48,ON,normal
Motor,0.443,11.57,ON,normal
Fan,0.241,11.51,ON,normal
Motor,0.443,11.57,ON,normal
Fan,0.241,11.51,ON,normal
Motor,0.259,11.55,ON,abnormal
Fan,0.119,11.48,ON,abnormal
Motor,0.259,11.55,ON,abnormal
Fan,0.119,11.48,ON,abnormal
Motor,0.612,11.47,ON,normal
Fan,0.267,11.26,ON,normal
Motor,0.641,11.52,ON,normal
Fan,0.278,11.3,ON,normal
Motor,0.641,11.52,ON,normal
Fan,0.278,11.3,ON,normal
Motor,0.651,11.55,ON,normal
Fan,0.261,11.39,ON,normal
Motor,0.651,11.55,ON,normal
Fan,0.261,11.39,ON,normal
Motor,1.055,11.32,ON,abnormal
Fan,0.172,11.25,ON,normal
Motor,1.778,11.23,ON,abnormal
Fan,0.331,11.15,ON,normal
Motor,1.778,11.23,ON,abnormal
Fan,0.331,11.15,ON,normal
Motor,0.777,11.58,ON,normal
Fan,0.29,11.49,ON,normal
Motor,0.777,11.58,ON,normal
Fan,0.29,11.49,ON,normal
Motor,3.768,10.67,ON,abnormal
Fan,0.465,10.64,ON,normal
Motor,3.301,10.85,ON,abnormal
Fan,0.436,10.78,ON,normal
Motor,3.301,10.85,ON,abnormal
Fan,0.436,10.78,ON,normal
Motor,3.08,10.79,ON,abnormal
Fan,0.434,10.8,ON,normal
Motor,3.08,10.79,ON,abnormal
Fan,0.434,10.8,ON,normal
Motor,3.284,10.81,ON,abnormal
Fan,0.438,10.78,ON,normal
Motor,2.832,10.92,ON,abnormal
Fan,0.437,10.76,ON,normal
Motor,2.832,10.92,ON,abnormal
Fan,0.437,10.76,ON,normal
Motor,2.675,10.94,ON,abnormal
Fan,0.408,10.77,ON,normal
Motor,2.675,10.94,ON,abnormal
Fan,0.408,10.77,ON,normal
Motor,2.693,10.97,ON,abnormal
Fan,0.421,10.82,ON,normal
Motor,2.074,11.08,ON,abnormal
Fan,0.392,10.9,ON,normal
Motor,2.074,11.08,ON,abnormal
Fan,0.392,10.9,ON,normal
Motor,1.282,11.3,ON,abnormal
Fan,0.236,11.23,ON,normal
Motor,1.282,11.3,ON,abnormal
Fan,0.236,11.23,ON,normal
Motor,1.782,11.26,ON,abnormal
Fan,0.287,11.24,ON,normal
Motor,1.655,11.2,ON,abnormal
Fan,0.253,11.1,ON,normal
Motor,1.655,11.2,ON,abnormal
Fan,0.253,11.1,ON,normal
Motor,2.755,11.0,ON,abnormal
Fan,0.439,10.88,ON,normal
Motor,2.755,11.0,ON,abnormal
Fan,0.439,10.88,ON,normal
Motor,1.67,11.35,ON,abnormal
Fan,0.334,11.25,ON,normal
Motor,0.369,11.62,ON,normal
Fan,0.3,11.5,ON,normal
Motor,0.369,11.62,ON,normal
Fan,0.3,11.5,ON,normal
Motor,0.375,11.57,ON,normal
Fan,0.174,11.45,ON,normal
Motor,0.375,11.57,ON,normal
Fan,0.174,11.45,ON,normal
Motor,0.379,11.59,ON,normal
Fan,0.182,11.47,ON,normal
Motor,0.698,11.59,ON,normal
Fan,0.287,11.44,ON,normal
Motor,0.698,11.59,ON,normal
Fan,0.287,11.44,ON,normal
Motor,0.756,11.53,ON,normal
Fan,0.301,11.34,ON,normal
Motor,0.756,11.53,ON,normal
Fan,0.301,11.34,ON,normal
Motor,0.862,11.48,ON,normal
Fan,0.295,11.29,ON,normal
Motor,1.893,11.14,ON,abnormal
Fan,0.358,11.0,ON,normal
Motor,1.893,11.14,ON,abnormal
Fan,0.358,11.0,ON,normal
Motor,1.829,11.23,ON,abnormal
Fan,0.271,11.06,ON,normal
Motor,1.695,11.21,ON,abnormal
Fan,0.369,11.07,ON,normal
Motor,1.695,11.21,ON,abnormal
Fan,0.369,11.07,ON,normal
Motor,1.217,11.33,ON,abnormal
Fan,0.242,11.24,ON,normal
Motor,1.217,11.33,ON,abnormal
Fan,0.242,11.24,ON,normal
Motor,1.672,11.35,ON,abnormal
Fan,0.33,11.27,ON,normal
Motor,1.312,11.3,ON,abnormal
Fan,0.25,11.24,ON,normal
Motor,1.312,11.3,ON,abnormal
Fan,0.25,11.24,ON,normal
Motor,1.189,11.3,ON,abnormal
Fan,0.251,11.12,ON,normal
Motor,1.189,11.3,ON,abnormal
Fan,0.251,11.12,ON,normal
Motor,1.481,11.28,ON,abnormal
Fan,0.209,11.11,ON,normal
Motor,0.392,11.53,ON,normal
Fan,0.175,11.36,ON,normal
Motor,0.392,11.53,ON,normal
Fan,0.175,11.36,ON,normal
Motor,0.346,11.54,ON,normal
Fan,0.202,11.35,ON,normal
Motor,0.346,11.54,ON,normal
Fan,0.202,11.35,ON,normal
Motor,0.747,11.57,ON,normal
Fan,0.296,11.46,ON,normal
Motor,0.782,11.64,ON,normal
Fan,0.301,11.54,ON,normal
Motor,0.782,11.64,ON,normal
Fan,0.301,11.54,ON,normal
Motor,0.41,11.56,ON,normal
Fan,0.203,11.42,ON,normal
Motor,0.41,11.56,ON,normal
Fan,0.203,11.42,ON,normal
Motor,0.39,11.53,ON,normal
Fan,0.315,11.34,ON,normal
Motor,0.661,11.58,ON,normal
Fan,0.29,11.39,ON,normal
Motor,0.661,11.58,ON,normal
Fan,0.29,11.39,ON,normal
Motor,0.753,11.55,ON,normal
Fan,0.321,11.33,ON,normal
Motor,0.753,11.55,ON,normal
Fan,0.321,11.33,ON,normal
Motor,0.688,11.64,ON,normal
Fan,0.279,11.51,ON,normal
Motor,0.402,11.57,ON,normal
Fan,0.311,11.37,ON,normal
Motor,0.402,11.57,ON,normal
Fan,0.311,11.37,ON,normal
Motor,0.729,11.6,ON,normal
Fan,0.278,11.47,ON,normal
Motor,0.729,11.6,ON,normal
Fan,0.278,11.47,ON,normal
Motor,0.755,11.54,ON,normal
Fan,0.3,11.37,ON,normal
Motor,0.422,11.54,ON,normal
